0,1,2,3,4
2.5393603,1.8755307,4.207401,3.5983112,2.1998959
3.7743294,1.5232526,6.2413363,5.1463394,1.9369329
2.9812353,1.6260952,6.093907,5.465257,2.1448317
2.2394876,1.783562,4.1674643,1.7237775,0.51338655
1.1826756,3.146461,3.408311,0.14602043,0.26627794
1.0346565,2.9617386,5.0199575,1.6238616,1.026769
1.1422874,3.3163874,4.133033,1.1283138,0.14062439
2.267547,2.0168731,4.222557,1.5834506,1.0138261
1.4850148,2.93668,3.218223,0.75355595,0.08839103
0.064530544,1.1306674,1.4669406,2.678303,0.94675505
1.2838213,0.9964343,2.4750745,1.6489693,0.630143
1.0370672,2.628468,4.2468863,2.7908287,1.2361038
1.3332605,1.6407995,3.2451744,3.0583556,1.2279812
2.376745,3.313904,5.6242743,2.837358,2.3332262
1.4117197,3.9180284,6.279615,2.236593,1.8923159
1.7274417,2.4451444,6.1267695,2.4098082,1.4248611
2.230308,2.7531955,5.6162686,4.11528,1.8437437
2.225856,3.3547127,5.9855003,2.537752,1.7957267
1.9747323,4.043705,6.9798765,2.2486546,2.2452447
1.4620425,3.5271854,6.581406,2.8021224,1.6588948
1.7560937,1.9322244,4.1605725,2.6842592,1.3037293
1.0967982,2.327022,3.538023,2.7744622,1.2088691
2.5692177,2.4179432,4.887446,4.733543,1.7947426
1.8801868,2.1141958,4.0133395,3.3990471,1.6357683
2.5756662,3.8698301,7.1818323,4.741547,2.7954776
1.7950727,3.5898323,5.179343,5.637455,3.064132
2.8975828,1.8506668,5.926533,3.3419893,1.6220666
1.3241427,2.0964437,4.9197016,2.43463,1.1398876
1.5529114,1.8615854,4.1339183,2.363304,0.9540751
0.47841507,2.9688292,4.2407,3.114052,0.92145103
1.2040851,2.6404877,4.17678,4.5258017,2.17135
1.5945892,3.761722,4.3102694,2.4897363,1.5663092
0.9316786,3.3109324,4.108321,1.5667077,1.0158362
1.8651862,2.2376652,3.3666697,3.545395,2.1502953
0.99768704,3.7314315,3.8565161,2.3017952,2.0631552
0.88152045,5.148191,6.8095098,2.3773615,2.068927
0.6725396,2.0087094,3.353637,2.0027099,0.026222415
3.9232767,7.414671,0.12129237,2.3868701,5.7090063
3.611674,5.1769795,2.0689197,2.716781,6.806269
4.0787086,4.010983,1.5565761,2.1012917,6.7592626
3.1607015,4.1531553,1.5627396,1.64428,5.381153
2.2824733,4.542544,5.889207,2.5620146,2.609559
1.6391102,6.228821,8.044249,2.9884617,2.9410224
1.8200959,4.4421587,6.94535,2.6455963,3.0524836
